"","word","frequency"
"1","to",323
"2","the",316
"3","a",258
"4","and",208
"5","my",198
"6","i",167
"7","you",143
"8","for",139
"9","in",128
"10","of",119
"11","is",111
"12","it",107
"13","have",101
"14","on",90
"15","so",85
"16","that",75
"17","with",74
"18","was",73
"19","me",69
"20","but",65
"21","not",63
"22","at",62
"23","be",62
"24","all",53
"25","are",51
"26","your",50
"27","up",47
"28","out",46
"29","this",46
"30","from",39
"31","do",38
"32","am",35
"33","as",35
"34","had",31
"35","some",31
"36","no",30
"37","if",26
"38","been",25
"39","only",25
"40","too",25
"41","its",24
"42","off",23
"43","they",23
"44","we",23
"45","more",22
"46","or",21
"47","there",21
"48","what",21
"49","about",20
"50","an",20
"51","here",18
"52","how",18
"53","has",17
"54","when",17
"55","over",16
"56","she",16
"57","by",15
"58","them",15
"59","would",15
"60","after",14
"61","did",14
"62","her",14
"63","could",13
"64","he",13
"65","his",13
"66","were",13
"67","again",11
"68","then",11
"69","down",10
"70","him",10
"71","into",10
"72","such",10
"73","because",9
"74","having",9
"75","myself",9
"76","other",9
"77","who",9
"78","why",9
"79","before",8
"80","being",8
"81","should",8
"82","than",8
"83","does",7
"84","those",7
"85","through",7
"86","until",7
"87","very",7
"88","few",6
"89","our",6
"90","where",6
"91","any",5
"92","own",5
"93","these",5
"94","under",5
"95","while",5
"96","doing",4
"97","most",4
"98","same",4
"99","both",3
"100","their",3
"101","between",2
"102","once",2
"103","yourself",2
"104","each",1
"105","further",1
"106","himself",1
"107","itself",1
"108","theirs",1
"109","themselves",1
"110","which",1
"111","yours",1
